step,loss,dpo_loss,pos_loss
1,0.693147,0.693147,0.000000
2,0.693147,0.693147,0.000000
3,0.701875,0.692033,0.009842
4,0.693073,0.693073,0.000000
5,0.735486,0.694895,0.040591
6,0.691194,0.691194,0.000000
7,0.695670,0.695247,0.000423
8,0.693186,0.693186,0.000000
9,0.692397,0.692397,0.000000
10,0.690778,0.690778,0.000000
11,0.694544,0.694544,0.000000
12,0.690475,0.690475,0.000000
13,0.695820,0.695820,0.000000
14,0.700565,0.700565,0.000000
15,0.695797,0.695797,0.000000
16,0.689703,0.689703,0.000000
17,0.693318,0.693318,0.000000
18,0.689576,0.689576,0.000000
19,0.696017,0.696017,0.000000
20,0.692153,0.692153,0.000000
21,0.694702,0.694702,0.000000
22,0.690157,0.690157,0.000000
23,0.688125,0.688125,0.000000
24,0.687796,0.687796,0.000000
25,0.690890,0.690890,0.000000
26,0.686177,0.686177,0.000000
27,0.691090,0.691090,0.000000
28,0.692097,0.692097,0.000000
29,0.690438,0.690438,0.000000
30,0.686565,0.686565,0.000000
31,0.683530,0.683530,0.000000
32,0.694299,0.694299,0.000000
33,0.698390,0.677760,0.020630
34,0.689871,0.689871,0.000000
35,0.689928,0.689928,0.000000
36,0.684308,0.684308,0.000000
37,0.686195,0.686195,0.000000
38,0.680017,0.680017,0.000000
39,0.681524,0.681524,0.000000
40,0.683399,0.683399,0.000000
41,0.686624,0.686624,0.000000
42,0.676571,0.676571,0.000000
43,0.682417,0.682417,0.000000
44,0.892627,0.692123,0.200504
45,0.665962,0.665962,0.000000
46,0.682103,0.682103,0.000000
47,0.690713,0.690713,0.000000
48,0.688129,0.688129,0.000000
49,0.683328,0.683328,0.000000
50,0.686403,0.686403,0.000000
51,0.684597,0.684597,0.000000
52,0.663874,0.663874,0.000000
53,0.609085,0.609085,0.000000
54,0.679006,0.679006,0.000000
55,0.673054,0.673054,0.000000
56,0.669705,0.669705,0.000000
57,1.238128,0.716596,0.521532
58,0.661866,0.661866,0.000000
59,0.662508,0.662508,0.000000
60,0.653452,0.653452,0.000000
61,0.689935,0.689935,0.000000
62,0.693457,0.693457,0.000000
63,0.658199,0.658199,0.000000
64,0.651042,0.651042,0.000000
65,0.650443,0.650443,0.000000
66,0.683238,0.683238,0.000000
67,0.668691,0.668691,0.000000
68,0.652067,0.652067,0.000000
69,0.660442,0.660442,0.000000
70,0.690348,0.690348,0.000000
71,0.675653,0.675653,0.000000
72,0.663326,0.663326,0.000000
73,0.674373,0.674373,0.000000
74,0.582998,0.582998,0.000000
75,0.667789,0.667789,0.000000
76,0.904847,0.717336,0.187511
77,0.675293,0.675293,0.000000
78,0.661823,0.661823,0.000000
79,0.446164,0.446164,0.000000
80,0.875411,0.678969,0.196442
81,0.691938,0.691938,0.000000
82,0.696368,0.696368,0.000000
83,1.163679,0.626703,0.536976
84,0.665033,0.665033,0.000000
85,0.628461,0.628461,0.000000
86,0.571056,0.571056,0.000000
87,0.644764,0.644764,0.000000
88,0.665976,0.665976,0.000000
89,0.681869,0.681869,0.000000
90,0.612197,0.612197,0.000000
91,0.642876,0.642876,0.000000
92,0.607333,0.607333,0.000000
93,0.612051,0.612051,0.000000
94,0.527879,0.527879,0.000000
95,0.609748,0.609748,0.000000
96,0.585511,0.585511,0.000000
97,0.620957,0.620957,0.000000
98,0.640692,0.640692,0.000000
99,0.630888,0.630888,0.000000
100,0.572482,0.572482,0.000000
101,0.700961,0.700961,0.000000
102,1.983896,0.645948,1.337948
103,0.641539,0.641539,0.000000
104,0.668783,0.668783,0.000000
105,0.520625,0.520625,0.000000
106,0.626476,0.626476,0.000000
107,0.580455,0.580455,0.000000
108,0.621983,0.621983,0.000000
109,0.681810,0.681810,0.000000
110,0.690305,0.690305,0.000000
111,0.608591,0.608591,0.000000
112,0.688047,0.688047,0.000000
113,0.638938,0.638938,0.000000
114,1.852743,0.600408,1.252335
115,0.598968,0.598968,0.000000
116,0.515126,0.515126,0.000000
117,0.609513,0.609513,0.000000
118,0.532272,0.532272,0.000000
119,0.590810,0.590810,0.000000
120,0.643019,0.643019,0.000000
121,0.601803,0.601803,0.000000
122,0.657277,0.657277,0.000000
123,0.568541,0.568541,0.000000
124,0.586093,0.586093,0.000000
125,0.629574,0.629574,0.000000
126,0.601857,0.601857,0.000000
127,0.503958,0.503958,0.000000
128,0.579762,0.579762,0.000000
129,0.504557,0.504557,0.000000
130,0.646515,0.646515,0.000000
131,0.637440,0.637440,0.000000
132,0.560458,0.560458,0.000000
133,0.566309,0.566309,0.000000
134,0.490813,0.490813,0.000000
135,0.602132,0.598420,0.003713
136,0.608081,0.608081,0.000000
137,0.488674,0.488674,0.000000
138,0.513995,0.513995,0.000000
139,0.544312,0.544312,0.000000
140,0.547365,0.547365,0.000000
141,0.682601,0.682601,0.000000
142,0.840653,0.685786,0.154866
143,0.499531,0.499531,0.000000
144,0.668042,0.668042,0.000000
145,0.644702,0.644702,0.000000
146,0.613501,0.613501,0.000000
147,0.626340,0.626340,0.000000
148,0.401265,0.401265,0.000000
149,2.113763,0.668893,1.444870
150,0.643789,0.643789,0.000000
151,0.505136,0.505136,0.000000
152,0.808343,0.677564,0.130779
153,0.677963,0.677963,0.000000
154,0.584819,0.584819,0.000000
155,0.547513,0.547513,0.000000
156,0.578870,0.578870,0.000000
157,0.537647,0.537647,0.000000
158,0.644982,0.644982,0.000000
159,2.023683,0.690645,1.333038
160,0.497346,0.497346,0.000000
161,0.549249,0.549249,0.000000
162,0.514592,0.514592,0.000000
163,0.463563,0.463563,0.000000
164,0.694135,0.694135,0.000000
165,0.589857,0.589857,0.000000
166,0.495783,0.495783,0.000000
167,0.496812,0.496812,0.000000
168,0.438150,0.438150,0.000000
169,0.246018,0.246018,0.000000
170,0.476918,0.476918,0.000000
171,0.516251,0.516251,0.000000
172,0.503377,0.503377,0.000000
173,0.572085,0.572085,0.000000
174,0.448842,0.448842,0.000000
175,0.499732,0.499732,0.000000
176,0.508783,0.508783,0.000000
177,0.590542,0.590542,0.000000
178,0.508269,0.508269,0.000000
179,0.527433,0.527433,0.000000
180,0.474648,0.474648,0.000000
181,8.371257,0.429414,7.941843
182,0.530263,0.530263,0.000000
183,0.422885,0.422885,0.000000
184,0.596204,0.596204,0.000000
185,0.562840,0.562840,0.000000
186,0.504195,0.504195,0.000000
187,0.456774,0.456774,0.000000
188,0.448425,0.448425,0.000000
189,0.402602,0.402602,0.000000
190,0.620787,0.620787,0.000000
191,0.577950,0.577950,0.000000
192,2.318204,0.505883,1.812321
193,0.462775,0.462775,0.000000
194,0.677143,0.677143,0.000000
195,0.596042,0.596042,0.000000
196,0.426926,0.426926,0.000000
197,0.450013,0.450013,0.000000
198,4.169981,0.681677,3.488304
199,0.596288,0.596288,0.000000
200,0.640429,0.640429,0.000000
201,0.656283,0.656283,0.000000
202,0.364889,0.364889,0.000000
203,0.574483,0.574483,0.000000
204,3.341866,0.657967,2.683899
205,0.480973,0.480973,0.000000
206,0.436332,0.436332,0.000000
207,0.799423,0.482787,0.316636
208,0.380825,0.380825,0.000000
209,0.385087,0.385087,0.000000
210,0.553332,0.553332,0.000000
211,1.461807,0.816384,0.645424
212,0.381372,0.381372,0.000000
213,0.544683,0.544683,0.000000
214,0.694199,0.694199,0.000000
215,0.564683,0.564683,0.000000
216,0.404070,0.404070,0.000000
217,0.573004,0.573004,0.000000
218,0.517186,0.517186,0.000000
219,0.532814,0.532814,0.000000
220,0.542045,0.542045,0.000000
221,0.560858,0.560858,0.000000
222,0.428526,0.428526,0.000000
223,0.543756,0.543756,0.000000
224,0.544051,0.544051,0.000000
225,0.612969,0.612969,0.000000
226,2.815396,0.496314,2.319082
227,0.270426,0.270426,0.000000
228,0.556165,0.556165,0.000000
229,0.455126,0.455126,0.000000
230,0.403377,0.403377,0.000000
231,0.421571,0.421571,0.000000
232,0.584837,0.584837,0.000000
233,0.517794,0.517794,0.000000
234,0.329982,0.329982,0.000000
235,0.404592,0.404592,0.000000
236,0.581734,0.581734,0.000000
237,1.564954,0.528184,1.036770
238,0.605167,0.605167,0.000000
239,0.651969,0.651969,0.000000
240,1.415597,0.516114,0.899483
241,0.511341,0.511341,0.000000
242,0.355296,0.355296,0.000000
243,0.330968,0.330968,0.000000
244,0.575675,0.575675,0.000000
245,0.821574,0.619524,0.202049
246,0.613915,0.613915,0.000000
247,0.659567,0.659567,0.000000
248,0.545128,0.545128,0.000000
249,0.543354,0.543354,0.000000
250,0.383944,0.383944,0.000000
251,0.433479,0.433479,0.000000
252,0.462461,0.462461,0.000000
253,0.427277,0.427277,0.000000
254,0.513341,0.513341,0.000000
255,0.636995,0.636995,0.000000
256,0.412389,0.412389,0.000000
257,0.062906,0.062906,0.000000
258,0.483171,0.483171,0.000000
259,0.423992,0.423992,0.000000
260,0.621064,0.621064,0.000000
261,0.583048,0.583048,0.000000
262,0.582530,0.582530,0.000000
263,0.576342,0.576342,0.000000
264,0.645830,0.645830,0.000000
265,1.739542,0.494421,1.245121
266,0.645936,0.645936,0.000000
267,0.648657,0.486907,0.161750
268,0.465241,0.465241,0.000000
269,0.481265,0.481265,0.000000
270,0.571124,0.571124,0.000000
271,0.400987,0.400987,0.000000
272,0.339434,0.339434,0.000000
273,0.463997,0.463997,0.000000
274,0.733282,0.733282,0.000000
275,0.349984,0.349984,0.000000
276,0.567000,0.567000,0.000000
277,0.409342,0.409342,0.000000
278,0.729007,0.729007,0.000000
279,0.557493,0.557493,0.000000
280,0.482778,0.482778,0.000000
281,0.576784,0.576784,0.000000
282,0.560576,0.560576,0.000000
283,0.498921,0.498921,0.000000
284,0.636094,0.636094,0.000000
285,0.442899,0.442899,0.000000
286,0.474232,0.474232,0.000000
287,0.335350,0.335350,0.000000
288,0.236299,0.236299,0.000000
289,0.372459,0.372459,0.000000
290,0.466118,0.466118,0.000000
291,0.177242,0.177242,0.000000
292,0.447191,0.447191,0.000000
293,0.582014,0.582014,0.000000
294,0.332397,0.332397,0.000000
295,0.563293,0.563293,0.000000
296,0.440869,0.440869,0.000000
297,0.559721,0.559721,0.000000
